Timestamp,CPU Usage (%),Memory Usage (%)
2025-05-28 04:38:01,11.6,47.3
2025-05-28 04:38:12,3.9,47.3
2025-05-28 04:38:23,4.2,47.4
2025-05-28 04:38:34,6.8,46.9
